IDENT	LATITUDE	LONGITUDE
LB361	51,22125	22,582166667
SY372	53,539694444	20,970111111
SY808	53,541027778	20,971277778
WA699	52,024055556	21,090555556
WA799	52,236916667	20,712277778
LDD5	51,694091222	19,271095417
LDD7	51,734687528	19,456918778
MO847	52,611691472	20,366414694
MO806	52,454361111	20,704805556
MO804	52,500490704	20,284554857
MO803	52,489880197	20,176863203
MO802	52,479257974	20,069205795
MO801	52,397101782	20,090975808
MI08	52,428574972	20,413712472
WDER8	51,098961111	16,897958333
WDER7	51,108802778	16,865825
MO831	52,548022805	20,785080528
MO832	52,330351611	20,3287265
WFI3A	52,035229278	21,080841111
MO852	52,308968083	20,197697333
MO851	52,32197625	20,330892167
MO853	52,420935361	19,996969139
MO856	52,432660555	21,1692715
MO854	52,509209667	20,991464055
MO866	52,46634875	20,814020055
MO864	52,520878583	20,660533778
MO362	52,324936722	21,027768917
WA756	52,129141555	20,376624278
MO846	52,611691472	20,366414694
LL711	51,735916667	19,126
AEPJS	50,944125	15,766905556
WFI1A	52,227385445	20,746466445
WFV9A	52,107615784	21,14485551
MO809	52,302008194	20,143131277
MF08	52,434811481	20,443468382
WA571	52,328888889	21,442222222
WA754	52,159690329	20,332986109
WA708	52,187773048	20,658814851
WA664	52,078965704	20,316113697
WA666	52,033807789	20,309336845
LDER7	51,7236695	19,406319361
LDER5	51,716222278	19,372188861
PDER0	52,418175023	16,841094416
PDD0D	52,375130434	17,062557137
PDER8	52,424958333	16,806005556
PDD8D	52,465487194	16,595426076
MO934	52,489861444	20,06884475
MO933	52,505078722	20,500547528
MO932	52,585908472	20,916470444
MO931	52,605912722	21,02081825
MO929	52,625810444	21,125182667
MO928	52,546375	21,165892305
MO927	52,526583333	21,062055556
MO926	52,506611111	20,957944444
MF26	52,486573555	20,853917861
MO936	52,438882926	19,938871239
MDR8A	52,451678972	20,670352876
MO821	52,465100958	20,814344868
MO822	52,53354782	20,796499973
WA698	52,253585139	21,695164333
MO938	51,558519696	21,181856984
MO937	51,618761224	21,27218565
MO999	51,773430204	21,505134859
MO941	52,310884609	21,308014828
MO997	52,475067143	21,120734381
MO816	52,596312156	20,944152545
MO817	52,561784318	21,048001008
MO859	52,382858536	21,277873459
MO818	52,259648018	21,024047712
MO861	52,163474777	20,827672668
MDR8B	52,452927778	20,670038889
GDER1	54,371266667	18,491716667
GDER9	54,381066667	18,45205
RDER9	50,109725	22,036516667
RDD92	50,109215048	22,074068387
RDER7	50,110188949	22,001544309
MO841	52,563168722	20,0207105
MO951	52,405091972	20,409954889
MO943	52,390861972	20,330128333
MO944	52,236006806	20,193077361
MO946	52,418481611	20,805470222
MO947	52,423954	20,943300389
MO956	52,203422861	21,241453056
MO948	51,884004056	21,516163528
MDER6	52,449511111	20,633694444
MDD6	52,445917778	20,595603556
BY801	53,074333333	17,714333333
BY802	52,991972222	17,733916667
BY623	53,121777778	18,279166667
GD402	54,311138889	18,733527778
LB374	51,255166667	22,818416667
WFV5B	52,281305556	20,865805556
WFV9C	52,114157583	21,150138889
