IDENT	LATITUDE	LONGITUDE
ROXUG	50,314166667	20,7725
OSNON	50,609722222	17,949722222
LUGUG	51,386944444	23,003611111
IXOGA	51,366944444	22,460833333
IRGAM	50,761666667	21,781388889
INGES	52,101388889	23,513888889
GIMAP	51,219166667	23,095833333
DOGIG	50,823611111	22,086111111
ASDAG	52,227117556	20,702095444
ARSAP	52,228055556	14,7125
XIGRI	52,510833333	14,613611111
OSKEX	51,089444444	17,569722222
MAVOT	51,83	17,231111111
XESNA	52,425833333	22,295833333
AGODU	53,944444444	16,116388889
ATMIR	52,787777778	17,463333333
BINPO	51,669722222	16,616666667
ELTUB	53,6725	15,4225
ETITI	50,395833333	21,219722222
ETNEL	50,840833333	17,156944444
GIVAR	55,026388889	16,302222222
LUVOD	50,229166667	19,094166667
LUXAL	53,915555556	16,543055556
MALOX	54,244166667	16,881388889
NIDIP	50,290555556	21,612777778
OSMOV	53,885555556	17,481944444
ORTEB	50,102222222	20,569722222
RAVAG	53,750833333	16,748888889
REPTU	51,444722222	15,986944444
RIVDI	55,194166667	17,072222222
RUDUB	50,973055556	16,067222222
SOGPI	50,769444444	17,563333333
UNVOX	53,514166667	15,526388889
URORA	54,260277778	16,4975
USALO	49,940277778	19,064722222
VEKON	54,0975	17,018333333
ABGEG	51,226388889	16,431666667
GUPMA	51,244444444	17,018333333
IPSOD	50,868333333	17,432777778
NIMOM	50,946666667	17,505277778
ATMEV	50,733055556	17,503055556
NAVDI	52,525277778	14,994166667
PEXAS	50,108158583	21,315721139
BIGLU	51,723055556	23,543055556
GEVNA	49,935	20,724722222
OBOSO	50,616666667	21,7625
GRUDA	53,521244444	18,781341667
GODMA	53,594401833	18,434370722
IPLAM	54,283564361	18,843597472
UVRIK	54,451944444	18,162222222
ATKUN	52,677222222	18,07
TEVGU	52,438055556	21,584444444
MEBIV	52,81	20,133888889
XANAR	52,467777778	20,726666667
BOBLU	50,399722222	21,909722222
DODOD	50,614722222	20,158611111
EKRUL	50,746111111	21,361111111
INDAD	50,074722222	21,268333333
ADURU	52,079166667	21,216111111
DOTEX	51,200277778	21,862222222
LULIN	50,578055556	21,129444444
MONOV	50,998333333	22,371944444
NATEV	50,868888889	22,171111111
POBIG	50,835	21,719166667
TUPUR	53,129722222	15,815
DEVEG	50,8575	17,510555556
MOKMU	49,939361111	20,14075
LAVPI	49,935611111	18,450805556
XEVBA	49,9395945	20,081400417
EMGAR	54,435277778	16,551944444
GOBRA	53,584722222	15,7025
SUSER	53,098333333	17,971388889
TIMSO	51,500833333	22,121666667
EKVAT	49,840555556	20,291388889
KARTI	54,299722222	18,208055556
XERTU	52,307305556	20,860083333
ARVAL	52,016277778	21,109416667
LUPOG	52,212555556	20,918194444
VIBAT	52,095609083	21,1804045
XOMBA	47,756625	18,061961111
AMIRI	51,91972222	25,88638888
AMSEV	57,67517419	8,80214791
VADIN	57,13777777	11,64388888
PR532	50,21217222	14,59672222
BUMIL	53,11991388	11,28606111
RAPOR	49,59138888	5,21305555
OTBED	53,28805555	0,03194444
NORKU	52,21555555	6,97638888
ARTIP	52,51121388	5,56908055
TELDO	53,37793611	13,66814444
POVEL	52,12837833	10,82777833
ERSIL	51,05058055	10,28660277
GOLOP	50,58576111	14,49573055
NIRGO	49,33094444	13,13221944
KONAR	50,44513888	13,06557777
REVMA	49,49722222	18,70027777
VALPI	49,02463888	17,95023055
RUDAP	49,24125833	13,26558611
BODAL	49,46410833	15,78270277
KOPAT	49,10637222	18,65445833
KEKED	48,52303888	21,29145277
KENIN	48,36152777	21,92730555
MALBE	48,82388888	22,375
TOVKA	48,27015588	16,92632111
PARAK	46,16393611	20,09429444
VEBAL	45,99138888	17,29666666
BUKOV	47,95166666	25,95833333
RUMUK	48,02666666	23,34333333
OBOVI	51,021388889	16,484722222
ALAMI	59,04777777	20,91583333
ARMOD	57,50072222	17,34613888
ASKOR	56,38277777	22,61277777
DEMOP	48,17472222	20,05694444
DENOL	51,98328055	8,67280833
GARLU	52,82903888	11,11805
GARSO	56,14611111	20,08222222
GUNTA	56,37138888	23,75555555
INROG	48,41472222	26,81277777
KARIL	47,79395277	22,44223888
KEDUX	56,21277777	19,57333333
LEDVA	48,72878888	16,78919444
LITKU	48,23053611	19,59851944
MADAG	56,38055555	12,01361111
MAREM	50,71546666	13,62883055
MIKOV	48,78474444	16,62100277
MOSON	54,66833333	31,04138888
NARKA	47,24846111	21,85993333
NISLO	55,4825	12,88472222
NORVI	55,74633333	13,33286111
PELUP	58,27883333	16,47791666
PITOK	48,32467222	20,37178333
PODER	51,61244861	8,68814383
RATIN	55,28	30,86138888
RISMA	57,04194444	11,97916666
RUSNE	55,23527777	21,43805555
SORON	49,76166666	27,85
TADUV	51,42990613	12,54817783
TAMEB	50,80782977	10,73012316
VENOM	55,485	13,12944444
XENTA	58,69144444	11,48272222
KOTOV	54,81347222	25,05702777
RAPET	50,19048888	12,33863888
ASKIL	54,50333333	31,08472222
OKG	50,06514722	12,40573888
KERAX	50,475	9,58194444
AMOSA	49,50955833	10,811525
ANELA	49,76876475	11,22460236
SONAL	54,87880377	12,78027469
LOKSA	55,75138888	9,51333333
MAREG	48,1904898	16,969088
PUSTA	47,15221666	18,74231666
BEMBI	50,07472222	29,93305555
TOBLO	52,96833333	31,35972222
ERIVA	56,36888888	24,63027777
BERIL	56,36305555	23,42638888
NILUG	58,81583333	17,88472222
SABAK	58,17655555	11,64272222
HLZ	52,36339558	10,79522055
BKD	53,03452438	11,54621547
GED	50,41194647	9,24916391
MAG	51,99498888	11,79430555
CDA	55,0015	12,37921111
DLE	52,25031955	9,88349325
WRB	51,50569666	9,11091425
TPS	47,49325833	19,44622222
AAL	57,10371944	9,99557777
CEL	52,58959166	10,029455
OKR	48,22386666	17,29032222
RARUP	53,64180341	10,67699952
OTPOP	51,965555556	19,575
LODBO	51,042777778	21,880833333
LEGNO	51,69	21,785555556
KOTEK	50,647222222	20,251111111
BABOT	55,17	16,690277778
BANUB	54,46185	14,297347222
BILRA	54,774608333	14,338830556
IRBOS	51,4425	19,844166667
NEGUV	50,914722222	20,115833333
NETAB	51,4975	21,911388889
OVBOR	51,104166667	20,019166667
POLON	51,8	19,656111111
RILAB	53,061111111	19,633055556
SUMAM	51,610555556	22,040833333
VAGON	51,308055556	17,114444444
NOLNA	54,362944444	25,098472222
DORER	50,46583333	27,20777777
OKROT	50,70694444	27,34888888
OSMUS	53,89472222	26,7225
KOMEN	53,37638888	25,00305555
PINUG	52,9275	25,69777777
BABUN	52,18138888	28,78138888
LOVIK	52,08333333	31,015
